,date,team_name,games,minutes,field_goals,field_goal_attempts,field_goal_percentage,three_points,three_point_attempts,three_point_percentage,two_points,two_point_attempts,two_point_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turn_overs,personal_fouls,points
4778,2017-3-28,Oklahoma City Thunder,73,17620,2891,6358,0.455,613,1870,0.328,2278,4488,0.508,1413,1900,0.744,876,2498,3374,1541,578,1071,1524,7808
4779,2017-3-28,San Antonio Spurs,73,17620,2886,6105,0.473,668,1709,0.391,2218,4396,0.505,1316,1638,0.803,718,2485,3203,1756,590,938,1353,7756
4780,2017-3-28,Brooklyn Nets,73,17595,2761,6199,0.445,792,2308,0.343,1969,3891,0.506,1424,1812,0.786,646,2547,3193,1554,512,1178,1569,7738
4781,2017-3-28,Charlotte Hornets,73,17670,2763,6261,0.441,736,2093,0.352,2027,4168,0.486,1407,1731,0.813,650,2581,3231,1698,496,816,1226,7669
4782,2017-3-28,New York Knicks,74,17935,2942,6565,0.448,649,1835,0.354,2293,4730,0.485,1241,1571,0.79,876,2484,3360,1612,526,981,1521,7774
4783,2017-3-28,Minnesota Timberwolves,72,17405,2831,6065,0.467,535,1535,0.349,2296,4530,0.507,1356,1708,0.794,825,2237,3062,1687,570,976,1451,7553
4784,2017-3-28,Los Angeles Lakers,73,17545,2857,6381,0.448,667,1915,0.348,2190,4466,0.49,1258,1668,0.754,821,2356,3177,1519,583,1060,1527,7639
4785,2017-3-28,Milwaukee Bucks,73,17595,2852,6009,0.475,630,1705,0.37,2222,4304,0.516,1288,1671,0.771,661,2291,2952,1767,604,963,1479,7622
4786,2017-3-28,Indiana Pacers,73,17645,2844,6151,0.462,621,1663,0.373,2223,4488,0.495,1305,1617,0.807,645,2414,3059,1627,601,973,1431,7614
4787,2017-3-28,New Orleans Pelicans,74,17985,2872,6416,0.448,699,1981,0.353,2173,4435,0.49,1228,1648,0.745,634,2636,3270,1669,573,929,1362,7671
4788,2017-3-28,Atlanta Hawks,73,17695,2781,6160,0.451,642,1893,0.339,2139,4267,0.501,1323,1828,0.724,751,2471,3222,1706,614,1107,1317,7527
4789,2017-3-28,Miami Heat,73,17595,2850,6274,0.454,714,1969,0.363,2136,4305,0.496,1091,1554,0.702,783,2411,3194,1554,525,920,1505,7505
4790,2017-3-28,Sacramento Kings,74,17960,2788,6077,0.459,675,1803,0.374,2113,4274,0.494,1341,1728,0.776,649,2373,3022,1660,575,1038,1518,7592
4791,2017-3-28,Philadelphia 76ers,73,17670,2753,6219,0.443,741,2144,0.346,2012,4075,0.494,1231,1607,0.766,702,2435,3137,1732,617,1173,1609,7478
4792,2017-3-28,Chicago Bulls,74,17860,2846,6424,0.443,535,1618,0.331,2311,4806,0.481,1353,1704,0.794,912,2482,3394,1650,572,959,1312,7580
4793,2017-3-28,Detroit Pistons,74,17860,2942,6543,0.45,558,1703,0.328,2384,4840,0.493,1047,1449,0.723,800,2553,3353,1555,520,836,1323,7489
4794,2017-3-28,Memphis Grizzlies,74,17960,2689,6210,0.433,682,1956,0.349,2007,4254,0.472,1394,1780,0.783,816,2364,3180,1562,598,915,1689,7454
4795,2017-3-28,Orlando Magic,74,17860,2828,6416,0.441,618,1914,0.323,2210,4502,0.491,1164,1579,0.737,735,2451,3186,1621,514,949,1429,7438
4796,2017-3-28,Utah Jazz,74,17835,2720,5879,0.463,703,1920,0.366,2017,3959,0.509,1287,1712,0.752,702,2510,3212,1463,493,964,1403,7430
4797,2017-3-28,Dallas Mavericks,73,17620,2640,5996,0.44,770,2157,0.357,1870,3839,0.487,1083,1353,0.8,571,2236,2807,1501,560,819,1398,7133
4798,2017-3-29,Golden State Warriors,74,17860,3178,6433,0.494,884,2312,0.382,2294,4121,0.557,1335,1696,0.787,686,2607,3293,2253,718,1071,1436,8575
4799,2017-3-29,Houston Rockets,74,17860,2988,6435,0.464,1075,2973,0.362,1913,3462,0.553,1506,1962,0.768,798,2470,3268,1879,618,1074,1485,8557
4800,2017-3-29,Denver Nuggets,74,17835,3031,6483,0.468,780,2111,0.369,2251,4372,0.515,1404,1816,0.773,893,2532,3425,1857,514,1079,1428,8246
4801,2017-3-29,Cleveland Cavaliers,73,17620,2898,6172,0.47,945,2454,0.385,1953,3718,0.525,1292,1726,0.749,678,2487,3165,1637,481,960,1309,8033
4802,2017-3-29,Washington Wizards,74,17935,3062,6455,0.474,675,1817,0.371,2387,4638,0.515,1293,1644,0.786,762,2425,3187,1780,630,994,1581,8092
4803,2017-3-29,Portland Trail Blazers,74,18010,2936,6362,0.461,755,2024,0.373,2181,4338,0.503,1376,1775,0.775,748,2503,3251,1580,512,994,1588,8003
4804,2017-3-29,Los Angeles Clippers,75,18075,2944,6255,0.471,768,2061,0.373,2176,4194,0.519,1433,1925,0.744,683,2549,3232,1676,562,945,1499,8089
4805,2017-3-29,Boston Celtics,74,17835,2858,6294,0.454,884,2445,0.362,1974,3849,0.513,1376,1693,0.813,676,2422,3098,1850,559,939,1519,7976
4806,2017-3-29,Toronto Raptors,74,17860,2900,6257,0.463,652,1789,0.364,2248,4468,0.503,1481,1853,0.799,790,2414,3204,1352,614,870,1553,7933
4807,2017-3-29,Oklahoma City Thunder,73,17620,2891,6358,0.455,613,1870,0.328,2278,4488,0.508,1413,1900,0.744,876,2498,3374,1541,578,1071,1524,7808
4808,2017-3-29,Phoenix Suns,75,18150,2964,6609,0.448,566,1693,0.334,2398,4916,0.488,1527,1961,0.779,870,2480,3350,1452,618,1125,1864,8021
4809,2017-3-29,San Antonio Spurs,73,17620,2886,6105,0.473,668,1709,0.391,2218,4396,0.505,1316,1638,0.803,718,2485,3203,1756,590,938,1353,7756
