ticket_handle,game_handle,v,v+,t,h,h+,cuttoff_date,outcomes,visitor,home,sport
2594,15,5.5,8.0,4.5,1.3,1.15,2017-10-05 23:59:00.0,v+ v,HAMILTON,WINNIPEG,FTB
2594,58,1.85,2.6,7.0,2.5,1.75,2017-10-05 20:30:00.0,h+ h,PITTSBURGH,CHICAGO,HKY
2594,14,1.6,2.2,3.4,4.0,3.3,2017-10-05 20:15:00.0,v,NEW ENGLAND,TAMPA BAY,FTB
2594,16,2.4,3.0,2.8,2.8,2.2,2017-10-05 23:59:00.0,t,SASKATCHEWAN,TORONTO,FTB
2594,19,1.85,2.4,3.2,3.3,2.7,2017-10-05 20:00:00.0,h+ h,LOUISVILLE,NORTH CAROLINA ST.,CFB
2594,54,1.65,2.3,7.0,2.8,2.0,2017-10-05 19:00:00.0,v t,MONTREAL,BUFFALO,HKY
2594,31,2.7,3.3,3.2,2.4,1.85,2017-10-05 23:59:00.0,h+ h,MINNESOTA,PURDUE,CFB
2594,30,2.6,3.2,3.0,2.6,2.0,2017-10-05 23:59:00.0,t,LOUISIANA ST.,FLORIDA,CFB
2594,51,2.3,3.0,7.0,2.05,1.5,2017-10-04 22:00:00.0,h+ h,CALGARY,EDMONTON,HKY
2594,36,3.7,4.8,3.5,2.0,1.5,2017-10-05 23:59:00.0,h+ h,SOUTHERN METHODIST,HOUSTON,CFB
2594,35,2.2,2.8,2.8,3.0,2.4,2017-10-05 23:59:00.0,h+ h,ARKANSAS,SOUTH CAROLINA,CFB
2594,52,2.3,3.0,7.0,2.05,1.5,2017-10-04 22:30:00.0,v+ v,PHILADELPHIA,SAN JOSE,HKY
2594,55,2.7,3.5,7.0,1.85,1.4,2017-10-05 19:00:00.0,v+ v,COLORADO,NEW YORK-R,HKY
2594,37,2.7,3.3,3.1,2.5,1.9,2017-10-05 23:59:00.0,h t,KANSAS ST.,TEXAS,CFB
2594,32,4.3,5.8,3.7,1.7,1.35,2017-10-05 23:59:00.0,t,AIR FORCE,NAVY,CFB
2594,17,2.8,3.4,3.2,2.4,1.8,2017-10-05 23:59:00.0,v,OTTAWA,BRITISH COLUMBIA,FTB
2594,57,1.55,2.1,7.0,3.0,2.2,2017-10-05 19:30:00.0,h+ h,MINNESOTA,DETROIT,HKY
2594,50,2.5,3.3,7.0,1.9,1.45,2017-10-04 20:00:00.0,v,ST. LOUIS,PITTSBURGH,HKY
2595,28,1.85,2.4,3.2,3.3,2.7,2017-10-07 15:30:00.0,v,MIAMI-FLORIDA,FLORIDA ST.,CFB
2595,43,2.0,2.6,3.0,3.2,2.6,2017-10-07 20:00:00.0,v+ v,WASHINGTON ST.,OREGON,CFB
2595,82,3.8,0.0,3.0,0.0,1.8,2017-10-06 14:45:00.0,v,ICELAND,TURKEY,SCR
2595,88,1.4,0.0,3.8,0.0,6.0,2017-10-07 14:45:00.0,v,GREECE,CYPRUS,SCR
2595,67,2.1,2.7,2.7,1.85,1.45,2017-10-06 14:00:00.0,h+ h,BOSTON,HOUSTON,BBL
2595,68,2.35,3.1,2.4,1.75,1.35,2017-10-06 17:00:00.0,h t,NEW YORK-Y,CLEVELAND,BBL
2595,83,6.0,0.0,3.8,0.0,1.4,2017-10-06 19:30:00.0,h,PANAMA,UNITED STATES,SCR
2595,81,1.8,0.0,3.0,0.0,3.8,2017-10-06 14:45:00.0,h,SERBIA,AUSTRIA,SCR
2595,86,1.1,0.0,6.0,0.0,9.9,2017-10-07 14:45:00.0,v,NETHERLANDS,BELARUS,SCR
2595,87,9.5,0.0,5.5,0.0,1.15,2017-10-07 14:45:00.0,h,HUNGARY,SWITZERLAND,SCR
2595,85,2.4,0.0,2.8,0.0,2.7,2017-10-07 12:00:00.0,v,BELGIUM,BOSNIA HERZEGOVINA,SCR
2595,26,2.5,3.1,2.9,2.7,2.1,2017-10-07 12:15:00.0,h,DUKE,VIRGINIA,CFB
2595,27,5.5,8.0,4.5,1.3,1.15,2017-10-07 15:30:00.0,h,WEST VIRGINIA,TEXAS CHRISTIAN,CFB
2595,22,1.1,1.2,5.0,9.0,6.0,2017-10-07 12:00:00.0,v+ v,PENN ST.,NORTHWESTERN,CFB
2595,49,2.2,3.0,7.0,2.1,1.55,2017-10-06 19:00:00.0,h+ h,NEW YORK-I,COLUMBUS,HKY
2595,46,1.8,2.4,3.2,3.4,2.8,2017-10-07 22:15:00.0,t,STANFORD,UTAH,CFB
2595,45,4.0,5.5,3.6,1.8,1.4,2017-10-07 20:00:00.0,t,ARIZONA,COLORADO,CFB
2595,42,1.2,1.4,4.0,7.5,5.2,2017-10-07 20:00:00.0,v+ v,WISCONSIN,NEBRASKA,CFB
2595,29,1.1,1.2,5.0,9.0,6.0,2017-10-07 15:30:00.0,v+ v,NOTRE DAME,NORTH CAROLINA,CFB
2595,40,5.2,7.5,4.0,1.4,1.2,2017-10-07 19:30:00.0,v,MICHIGAN ST.,MICHIGAN,CFB
2595,41,5.2,7.5,4.0,1.4,1.2,2017-10-07 19:30:00.0,h,MISSOURI,KENTUCKY,CFB
2595,1,2.1,2.7,2.9,3.1,2.5,2017-10-07 23:59:00.0,t,NEW YORK-J,CLEVELAND,FTB
2595,3,2.4,3.0,2.8,2.8,2.2,2017-10-07 23:59:00.0,t,SAN FRANCISCO,INDIANAPOLIS,FTB
2595,2,2.6,3.2,3.0,2.6,2.0,2017-10-07 23:59:00.0,t,CAROLINA,DETROIT,FTB
2595,5,2.4,3.0,2.8,2.8,2.2,2017-10-07 23:59:00.0,h,BUFFALO,CINCINNATI,FTB
2595,7,4.5,6.2,3.8,1.6,1.3,2017-10-07 23:59:00.0,v+ v,JACKSONVILLE,PITTSBURGH,FTB
2595,6,2.7,3.3,3.1,2.5,1.9,2017-10-07 23:59:00.0,v,LOS ANGELES-CH,NEW YORK-G,FTB
2595,9,2.4,3.0,2.8,2.8,2.2,2017-10-07 23:59:00.0,v,SEATTLE,LOS ANGELES-R,FTB
2595,8,3.9,5.2,3.5,1.9,1.45,2017-10-07 23:59:00.0,h+ h,ARIZONA,PHILADELPHIA,FTB
2595,70,2.55,3.4,2.45,1.65,1.3,2017-10-06 22:30:00.0,h+ h,ARIZONA,LOS ANGELES-D,BBL
2595,69,2.15,2.8,2.3,1.9,1.45,2017-10-06 19:30:00.0,v+ v,CHICAGO-C,WASHINGTON,BBL
2595,14,2.7,3.3,3.1,2.5,1.9,2017-10-07 12:30:00.0,t,PITTSBURGH,SYRACUSE,CFB
2595,11,2.4,3.0,2.8,2.8,2.2,2017-10-07 23:59:00.0,v,GREEN BAY,DALLAS,FTB
2595,10,2.6,3.2,3.0,2.6,2.0,2017-10-07 23:59:00.0,v+ v,BALTIMORE,OAKLAND,FTB
2595,12,2.1,2.7,2.9,3.1,2.5,2017-10-07 23:59:00.0,v+ v,KANSAS CITY,HOUSTON,FTB
2595,15,5.5,8.0,4.5,1.3,1.15,2017-10-06 20:30:00.0,v+ v,HAMILTON,WINNIPEG,FTB
2595,48,1.25,1.5,3.9,7.0,5.0,2017-10-07 22:45:00.0,v+ v,SAN DIEGO ST.,UNLV,CFB
2595,17,2.9,3.5,3.3,2.3,1.75,2017-10-07 19:00:00.0,v,OTTAWA,BRITISH COLUMBIA,FTB
2595,16,2.6,3.2,3.0,2.6,2.0,2017-10-07 16:00:00.0,t,SASKATCHEWAN,TORONTO,FTB
2595,19,1.3,1.6,3.8,6.2,4.5,2017-10-07 16:30:00.0,v+ v,COLORADO ST.,UTAH ST.,CFB
2595,32,4.3,5.8,3.7,1.7,1.35,2017-10-07 15:30:00.0,t,AIR FORCE,NAVY,CFB
2595,31,2.8,3.4,3.2,2.4,1.8,2017-10-07 15:30:00.0,h+ h,MINNESOTA,PURDUE,CFB
2595,30,2.6,3.2,3.1,2.5,1.95,2017-10-07 15:30:00.0,t,LOUISIANA ST.,FLORIDA,CFB
2595,51,3.0,4.0,8.0,1.7,1.35,2017-10-06 20:30:00.0,v,VEGAS,DALLAS,HKY
2595,36,3.7,4.8,3.5,2.0,1.5,2017-10-07 19:00:00.0,h+ h,SOUTHERN METHODIST,HOUSTON,CFB
2595,35,2.1,2.7,2.9,3.1,2.5,2017-10-07 16:00:00.0,h+ h,ARKANSAS,SOUTH CAROLINA,CFB
2595,37,3.3,4.0,3.4,2.2,1.6,2017-10-07 19:00:00.0,h t,KANSAS ST.,TEXAS,CFB
2595,18,1.35,1.7,3.7,5.8,4.3,2017-10-07 23:59:00.0,v+ v,EDMONTON,MONTREAL,FTB
2595,50,2.3,3.0,7.0,2.05,1.5,2017-10-06 19:30:00.0,h+ h,FLORIDA,TAMPA BAY,HKY
2596,30,1.55,1.95,2.6,2.6,1.9,2017-10-09 16:00:00.0,h t,WASHINGTON,CHICAGO-C,BBL
2596,54,5.0,0.0,3.6,0.0,1.5,2017-10-09 23:59:00.0,h,COSTA RICA,PANAMA,SCR
2596,42,1.25,0.0,4.5,0.0,8.0,2017-10-09 14:45:00.0,v,SPAIN,ISRAEL,SCR
2596,29,1.6,2.0,2.5,2.5,1.8,2017-10-09 13:00:00.0,v t,HOUSTON,BOSTON,BBL
2596,24,1.85,2.6,7.0,2.5,1.75,2017-10-09 19:30:00.0,h,WASHINGTON,TAMPA BAY,HKY
2596,25,3.0,4.0,8.0,1.7,1.35,2017-10-09 21:00:00.0,v+ v,WINNIPEG,EDMONTON,HKY
2596,26,2.5,3.3,7.0,1.9,1.45,2017-10-09 22:00:00.0,v+ v,CALGARY,ANAHEIM,HKY
2596,27,1.5,1.9,2.6,2.6,2.0,2017-10-08 14:30:00.0,h+ h,HOUSTON,BOSTON,BBL
2596,20,3.25,4.5,8.0,1.6,1.3,2017-10-09 13:00:00.0,v+ v,COLORADO,BOSTON,HKY
2596,21,1.85,2.6,7.0,2.5,1.75,2017-10-09 13:00:00.0,v t,ST. LOUIS,NEW YORK-I,HKY
2596,22,1.9,2.7,7.0,2.4,1.7,2017-10-09 15:00:00.0,v+ v,NEW JERSEY,BUFFALO,HKY
2596,49,5.0,0.0,3.6,0.0,1.5,2017-10-09 23:59:00.0,h,CHILE,BRAZIL,SCR
2596,46,4.0,0.0,3.2,0.0,1.7,2017-10-09 23:59:00.0,h,SWEDEN,NETHERLANDS,SCR
2596,47,6.0,0.0,3.8,0.0,1.4,2017-10-09 23:59:00.0,h,SWITZERLAND,PORTUGAL,SCR
2596,44,2.4,0.0,2.8,0.0,2.7,2017-10-09 14:45:00.0,v,CROATIA,UKRAINE,SCR
2596,45,1.4,0.0,3.8,0.0,6.0,2017-10-09 23:59:00.0,t,BULGARIA,LUXEMBOURG,SCR
2596,28,1.55,1.95,2.6,2.6,1.9,2017-10-08 19:30:00.0,h t,CLEVELAND,NEW YORK-Y,BBL
2596,43,1.9,0.0,3.0,0.0,3.4,2017-10-09 14:45:00.0,t,TURKEY,FINLAND,SCR
2596,40,3.4,0.0,3.0,0.0,1.9,2017-10-09 14:45:00.0,v,IRELAND,WALES,SCR
2596,41,1.45,0.0,3.7,0.0,5.5,2017-10-09 14:45:00.0,v,ITALY,ALBANIA,SCR
2596,9,2.4,3.0,2.8,2.9,2.3,2017-10-08 16:00:00.0,v,SEATTLE,LOS ANGELES-R,FTB
2596,39,1.25,0.0,4.5,0.0,8.0,2017-10-09 14:45:00.0,v,AUSTRIA,MOLDOVA,SCR
2596,38,3.1,0.0,2.8,0.0,2.15,2017-10-08 14:45:00.0,h,NORTHERN IRELAND,NORWAY,SCR
2596,11,2.4,3.0,2.8,2.8,2.25,2017-10-08 16:15:00.0,v,GREEN BAY,DALLAS,FTB
2596,10,2.6,3.2,3.1,2.5,1.95,2017-10-08 16:00:00.0,v+ v,BALTIMORE,OAKLAND,FTB
2596,13,1.9,2.5,3.1,3.3,2.7,2017-10-09 20:30:00.0,t,MINNESOTA,CHICAGO,FTB
2596,12,2.15,2.8,2.9,3.1,2.5,2017-10-08 20:30:00.0,v+ v,KANSAS CITY,HOUSTON,FTB
2596,48,1.3,0.0,4.25,0.0,7.0,2017-10-09 23:59:00.0,v,BOSNIA HERZEGOVINA,ESTONIA,SCR
2596,19,2.1,2.9,7.0,2.2,1.6,2017-10-08 19:00:00.0,h+ h,MONTREAL,NEW YORK-R,HKY
2596,18,1.3,1.6,3.8,6.2,4.5,2017-10-09 14:00:00.0,v+ v,EDMONTON,MONTREAL,FTB
2596,31,1.8,2.5,2.5,2.0,1.6,2017-10-09 19:00:00.0,h+ h,CLEVELAND,NEW YORK-Y,BBL
2596,23,1.85,2.6,7.0,2.5,1.75,2017-10-09 19:00:00.0,h,CHICAGO,TORONTO,HKY
2596,51,9.0,0.0,5.0,0.0,1.2,2017-10-09 23:59:00.0,v,VENEZUELA,PARAGUAY,SCR
2596,50,1.25,0.0,4.5,0.0,8.0,2017-10-09 23:59:00.0,v,ARGENTINA,ECUADOR,SCR
2596,53,2.7,0.0,2.8,0.0,2.4,2017-10-09 23:59:00.0,h,MEXICO,HONDURAS,SCR
2596,52,2.8,0.0,3.0,0.0,2.2,2017-10-09 23:59:00.0,t,COLOMBIA,PERU,SCR
2596,55,1.25,0.0,4.5,0.0,8.5,2017-10-09 23:59:00.0,h,UNITED STATES,TRINIDAD TOBAGO,SCR
2596,32,1.6,2.0,2.5,2.5,1.8,2017-10-09 22:00:00.0,v+ v,LOS ANGELES-D,ARIZONA,BBL
2597,56,1.85,2.6,7.0,2.5,1.75,2017-10-10 22:00:00.0,h+ h,ARIZONA,VEGAS,HKY
